Место;Координаты;Год;Что измеряем; Значение
р. Чу - с. Милянфан, 2,5 км выше впадения дренажного коллектора N 17, 0,2 м;42.975743, 74.885518;2011;pH;8,21
р. Чу - с. Милянфан, 2,5 км выше впадения дренажного коллектора N 17, 0,2 м;42.975743, 74.885518;2011;Кислород;8,86
р. Чу - с. Милянфан, 2,5 км выше впадения дренажного коллектора N 17, 0,2 м;42.975743, 74.885518;2011;Сульфаты;55,8
р. Чу - с. Милянфан, 2,5 км выше впадения дренажного коллектора N 17, 0,2 м;42.975743, 74.885518;2011;Хлориды;12,6
р. Чу - с. Милянфан, 2,5 км выше впадения дренажного коллектора N 17, 0,2 м;42.975743, 74.885518;2011;Сумма ионов (минерализация) , мг/л;270
р. Чу - с. Милянфан, 2,5 км выше впадения дренажного коллектора N 17, 0,2 м;42.975743, 74.885518;2011;Общая жесткость, ммоль/л;3,64
р. Чу - с. Милянфан, 2,5 км выше впадения дренажного коллектора N 17, 0,2 м;42.975743, 74.885518;2011;Азот нитритный, мг/л;0,012
р. Чу - с. Милянфан, 2,5 км выше впадения дренажного коллектора N 17, 0,2 м;42.975743, 74.885518;2011;Азот нитратный, мг/л;1,62
р. Чу - с. Милянфан, 2,5 км выше впадения дренажного коллектора N 17, 0,2 м;42.975743, 74.885518;2011;ВПК 5, мг/л;1,49
р. Чу - с. Милянфан, 2,5 км выше впадения дренажного коллектора N 17, 0,2 м;42.975743, 74.885518;2011;Нефтепродукты, мг/л;0,01
р. Чу - с. Милянфан, 2,5 км выше впадения дренажного коллектора N 17, 0,2 м;42.975743, 74.885518;2012;Температура воды, град.;17,9
р. Чу - с. Милянфан, 2,5 км выше впадения дренажного коллектора N 17, 0,2 м;42.975743, 74.885518;2012;Взвешенные вещества, мг/л;14,4
р. Чу - с. Милянфан, 2,5 км выше впадения дренажного коллектора N 17, 0,2 м;42.975743, 74.885518;2012;Цветность, град.;5
р. Чу - с. Милянфан, 2,5 км выше впадения дренажного коллектора N 17, 0,2 м;42.975743, 74.885518;2012;pH;8,3
р. Чу - с. Милянфан, 2,5 км выше впадения дренажного коллектора N 17, 0,2 м;42.975743, 74.885518;2012;Кислород;9,42
р. Чу - с. Милянфан, 2,5 км выше впадения дренажного коллектора N 17, 0,2 м;42.975743, 74.885518;2012;Сульфаты;68,9
р. Чу - с. Милянфан, 2,5 км выше впадения дренажного коллектора N 17, 0,2 м;42.975743, 74.885518;2012;Хлориды;13,9
р. Чу - с. Милянфан, 2,5 км выше впадения дренажного коллектора N 17, 0,2 м;42.975743, 74.885518;2012;Сумма ионов (минерализация) , мг/л;295
р. Чу - с. Милянфан, 2,5 км выше впадения дренажного коллектора N 17, 0,2 м;42.975743, 74.885518;2012;Общая жесткость, ммоль/л;3,81
р. Чу - с. Милянфан, 2,5 км выше впадения дренажного коллектора N 17, 0,2 м;42.975743, 74.885518;2012;Азот нитритный, мг/л;0,012
р. Чу - с. Милянфан, 2,5 км выше впадения дренажного коллектора N 17, 0,2 м;42.975743, 74.885518;2012;Азот нитратный, мг/л;1,65
р. Чу - с. Милянфан, 2,5 км выше впадения дренажного коллектора N 17, 0,2 м;42.975743, 74.885518;2012;ВПК 5, мг/л;0,94
р. Чу - с. Милянфан, 2,5 км выше впадения дренажного коллектора N 17, 0,2 м;42.975743, 74.885518;2012;Нефтепродукты, мг/л;0,01
р. Чу - с. Милянфан, 2,5 км выше впадения дренажного коллектора N 17, 0,2 м;42.975743, 74.885518;2013;Температура воды, град.;13,4
р. Чу - с. Милянфан, 2,5 км выше впадения дренажного коллектора N 17, 0,2 м;42.975743, 74.885518;2013;Взвешенные вещества, мг/л;22,3
р. Чу - с. Милянфан, 2,5 км выше впадения дренажного коллектора N 17, 0,2 м;42.975743, 74.885518;2013;Цветность, град.;8
